subject_id,frame_paths,n_frames,metadata,ra,dec
3855055,"['data/backyard_worlds/subjects_examined/subject_3855055/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855055/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855055/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855055/frame_03.png']",4,"{'id': '31', 'image0': 'unwise-1342m076.3.6.0.png', 'image1': 'unwise-1342m076.3.6.1.png', 'image2': 'unwise-1342m076.3.6.2.png', 'image3': 'unwise-1342m076.3.6.3.png'}",,
3855056,"['data/backyard_worlds/subjects_examined/subject_3855056/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855056/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855056/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855056/frame_03.png']",4,"{'id': '32', 'image0': 'unwise-1342m076.3.7.0.png', 'image1': 'unwise-1342m076.3.7.1.png', 'image2': 'unwise-1342m076.3.7.2.png', 'image3': 'unwise-1342m076.3.7.3.png'}",,
3855057,"['data/backyard_worlds/subjects_examined/subject_3855057/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855057/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855057/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855057/frame_03.png']",4,"{'id': '33', 'image0': 'unwise-1342m076.4.0.0.png', 'image1': 'unwise-1342m076.4.0.1.png', 'image2': 'unwise-1342m076.4.0.2.png', 'image3': 'unwise-1342m076.4.0.3.png'}",,
3855058,"['data/backyard_worlds/subjects_examined/subject_3855058/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855058/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855058/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855058/frame_03.png']",4,"{'id': '34', 'image0': 'unwise-1342m076.4.1.0.png', 'image1': 'unwise-1342m076.4.1.1.png', 'image2': 'unwise-1342m076.4.1.2.png', 'image3': 'unwise-1342m076.4.1.3.png'}",,
3855059,"['data/backyard_worlds/subjects_examined/subject_3855059/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855059/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855059/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855059/frame_03.png']",4,"{'id': '35', 'image0': 'unwise-1342m076.4.2.0.png', 'image1': 'unwise-1342m076.4.2.1.png', 'image2': 'unwise-1342m076.4.2.2.png', 'image3': 'unwise-1342m076.4.2.3.png'}",,
3855060,"['data/backyard_worlds/subjects_examined/subject_3855060/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855060/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855060/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855060/frame_03.png']",4,"{'id': '36', 'image0': 'unwise-1342m076.4.3.0.png', 'image1': 'unwise-1342m076.4.3.1.png', 'image2': 'unwise-1342m076.4.3.2.png', 'image3': 'unwise-1342m076.4.3.3.png'}",,
3855061,"['data/backyard_worlds/subjects_examined/subject_3855061/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855061/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855061/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855061/frame_03.png']",4,"{'id': '37', 'image0': 'unwise-1342m076.4.4.0.png', 'image1': 'unwise-1342m076.4.4.1.png', 'image2': 'unwise-1342m076.4.4.2.png', 'image3': 'unwise-1342m076.4.4.3.png'}",,
3855062,"['data/backyard_worlds/subjects_examined/subject_3855062/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855062/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855062/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855062/frame_03.png']",4,"{'id': '38', 'image0': 'unwise-1342m076.4.5.0.png', 'image1': 'unwise-1342m076.4.5.1.png', 'image2': 'unwise-1342m076.4.5.2.png', 'image3': 'unwise-1342m076.4.5.3.png'}",,
3855063,"['data/backyard_worlds/subjects_examined/subject_3855063/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855063/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855063/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855063/frame_03.png']",4,"{'id': '39', 'image0': 'unwise-1342m076.4.6.0.png', 'image1': 'unwise-1342m076.4.6.1.png', 'image2': 'unwise-1342m076.4.6.2.png', 'image3': 'unwise-1342m076.4.6.3.png'}",,
3855064,"['data/backyard_worlds/subjects_examined/subject_3855064/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855064/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855064/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855064/frame_03.png']",4,"{'id': '40', 'image0': 'unwise-1342m076.4.7.0.png', 'image1': 'unwise-1342m076.4.7.1.png', 'image2': 'unwise-1342m076.4.7.2.png', 'image3': 'unwise-1342m076.4.7.3.png'}",,
